Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"5001980000";"3796100";"3589";"68361.9"
"10004816000";"3833100";"3591";"136922.3"
"15007030000";"3798700";"3588";"205065.6"
"20008431000";"3817800";"3594";"273300.4"
"25009750000";"3768200";"3590";"341461.4"
"30010749000";"3822100";"3589";"409301.5"
"35011599000";"3824000";"3587";"477469.4"
"40011748000";"4101400";"3588";"545693.5"
"45011833000";"3800000";"3592";"613451.7"
"50012138000";"3825400";"3590";"681603.3"
"55011407000";"3820400";"3591";"749830.4"
"60011220000";"3817200";"3591";"817962.2"
"65010358000";"4162000";"3589";"885798.9"
"70009545000";"3792500";"3590";"953930.7"
"75008477000";"3818400";"3588";"1022047.9"
"80007258000";"3815500";"3589";"1089848.4"
"85005499000";"3801500";"3590";"1157969.5"
"90003169000";"3819500";"3588";"1226079.4"
"95000795000";"3777400";"3590";"1294022.8"
"99998328000";"3847100";"3589";"1362135.7"
"104995629000";"3843100";"3591";"1430227.1"
"109992959000";"3804300";"3590";"1498055.7"
"114989344000";"3822900";"3593";"1566171.3"
"119985932000";"3817800";"3590";"1634309.7"
"124982153000";"3820100";"3591";"1702109.1"
"129978329000";"3821000";"3591";"1770402.4"
"134974640000";"3792600";"3590";"1838614.6"
"139970116000";"3762300";"3589";"1906784.7"
"144965039000";"3772900";"3587";"1974496.9"
"149959912000";"3828000";"3591";"2042675.2"
"154954637000";"3841500";"3589";"2110862.5"
"159948761000";"3848200";"3589";"2178737.0"
"164943000000";"3829700";"3589";"2246932.1"
"169936779000";"3828000";"3588";"2315284.3"
"174930663000";"3874700";"3589";"2383353.9"
"179924300000";"3879300";"3591";"2451599.5"
"184917069000";"3764400";"3588";"2519790.8"
"189910015000";"3795100";"3590";"2587668.4"
"194902507000";"3793500";"3588";"2655849.0"
"199894623000";"3854900";"3591";"2724016.1"
"204886395000";"3784400";"3589";"2791824.8"
"209878041000";"3758100";"3588";"2859981.2"
"214869170000";"3794700";"3591";"2928142.4"
"219860430000";"3825500";"3587";"2996296.3"
"224851156000";"3820600";"3588";"3064135.7"
"229841207000";"3763200";"3589";"3132165.4"
"234831599000";"3897100";"3589";"3200222.6"
"239821914000";"3775300";"3586";"3267979.2"
"244811420000";"3796000";"3591";"3336040.8"
"249801064000";"3799500";"3593";"3404123.2"
"254789944000";"3835000";"3589";"3471883.3"
"259778869000";"3841000";"3591";"3539957.9"
"264768130000";"3846500";"3587";"3608034.2"
"269756578000";"3848800";"3590";"3675749.5"
"274744848000";"3767600";"3591";"3743819.4"
"279732647000";"3796600";"3590";"3811865.6"
"284720175000";"3768200";"3589";"3879604.7"
"289707439000";"3820100";"3590";"3947665.1"
"294694276000";"3845900";"3587";"4015707.9"
"299681042000";"3795400";"3589";"4083747.3"
"304667586000";"3837700";"3592";"4151459.2"
"309653435000";"4106500";"3588";"4219482.7"
"314639775000";"3797100";"3589";"4287514.3"
"319625632000";"3834300";"3591";"4355222.4"
"324611004000";"3838900";"3591";"4423244.2"
"329596151000";"3851700";"3591";"4491342.3"
"334580889000";"3797100";"3590";"4558957.3"
"339565775000";"3787800";"3589";"4627068.8"
"344550131000";"3877000";"3589";"4695094.1"
"349534610000";"3792600";"3589";"4762779.8"
"354518760000";"3816100";"3589";"4830801.2"
"359502000000";"3781200";"3588";"4898808.9"
"364485304000";"3825700";"3590";"4966821.7"
"369468059000";"3819900";"3590";"5034504.1"
"374450712000";"3829100";"3590";"5102519.1"
"379432960000";"3799300";"3591";"5170529.0"
"384415283000";"3851700";"3588";"5238195.0"
"389397401000";"3750600";"3591";"5306210.5"
"394379548000";"3826300";"3590";"5374222.9"
"399361204000";"3819500";"3589";"5441908.4"
"404342189000";"3882200";"3592";"5509902.4"
"409323040000";"3792100";"3590";"5577899.4"
"414303948000";"3784900";"3589";"5645565.9"
"419284285000";"3802800";"3591";"5713542.7"
"424264717000";"3800400";"3589";"5781517.3"
"429244324000";"3794700";"3590";"5849125.7"
"434224568000";"3824600";"3590";"5917083.4"
"439203874000";"3804900";"3592";"5985038.3"
"444182978000";"3829400";"3588";"6052993.5"
"449162109000";"3825400";"3593";"6120626.5"
"454140812000";"3769800";"3592";"6188570.2"
"459118845000";"3793000";"3592";"6256506.9"
"464096571000";"3803800";"3589";"6324083.1"
"469074587000";"3784200";"3590";"6392023.7"
"474052211000";"3762300";"3591";"6459957.1"
"479029676000";"3796500";"3595";"6527566.4"
"484006341000";"4234300";"3595";"6595491.2"
"488983039000";"3820600";"3591";"6663408.2"
"493959472000";"3823800";"3594";"6730989.2"
"498935432000";"4008200";"3591";"6798965.3"
"503911421000";"3793000";"3590";"6866916.0"
"508886728000";"3823500";"3589";"6934815.9"
"513862202000";"3820100";"3588";"7002412.8"
"518837227000";"3772100";"3588";"7070311.0"
"523811780000";"3776900";"3591";"7138210.4"
"528786684000";"3828900";"3590";"7205798.8"
"533760755000";"3819500";"3591";"7273699.1"
"538735161000";"3822400";"3592";"7341608.5"
"543708676000";"3819500";"3593";"7409175.8"
"548682678000";"3767600";"3590";"7477074.5"
"553656309000";"3827700";"3591";"7544968.3"
"558629864000";"3833200";"3588";"7612534.8"
"563602436000";"3777400";"3591";"7680411.1"
"568574701000";"3843700";"3591";"7748276.6"
"573547010000";"3790500";"3590";"7815819.4"
"578518916000";"3822600";"3591";"7883678.9"
"583490764000";"3811300";"3592";"7951539.6"
"588461903000";"3801500";"3588";"8019387.1"
"593433248000";"3800700";"3591";"8086889.0"
"598404756000";"3850500";"3590";"8154885.2"
